Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA60,MA120,EMA5,EMA20,EMA60,EMA120,BOL_AVG,BOL_H1,BOL_L1,BOL_H2,BOL_L2,RSI,MACD,MACD_SIGNAL,OBV
2013-09-30,17.04464340209961,17.2021427154541,16.943214416503906,17.02678680419922,14.784490585327148,260156400,,,,,14.784490585327148,14.784490585327148,14.784490585327148,14.784490585327148,,,,,,,,,260156400
2013-10-01,17.087499618530273,17.46928596496582,17.084999084472656,17.427143096923828,15.132122993469238,353883600,,,,,14.900368054707846,14.817598433721633,14.795888369200659,14.790236575544373,,,,,,,,,614040000
2013-10-02,17.343929290771484,17.564285278320312,17.27678680419922,17.484285354614258,15.181739807128906,289184000,,,,,14.9941586388482,14.852278564522326,14.808539236017978,14.796707703339159,,,,,,,,,903224000
2013-10-03,17.518213272094727,17.58392906188965,17.169286727905273,17.2646427154541,14.991021156311035,322753200,,,,,14.993112811335813,14.865492144692679,14.814522249798078,14.799919495950265,,,,,,,,,580470800
2013-10-04,17.28071403503418,17.30714225769043,17.092857360839844,17.25107192993164,14.979239463806152,258868400,15.013722801208496,,,,14.98848836215926,14.876325222703485,14.819922814191784,14.802883462361107,,,,,,,,,321602400
2013-10-07,17.37714385986328,17.594642639160156,17.33392906188965,17.41964340209961,15.125612258911133,312292400,15.081947135925294,,,,15.034196327743217,14.900066845199452,14.829945418936681,14.808217822634662,,,,,,,,,633894800
2013-10-08,17.49785614013672,17.522857666015625,17.16214370727539,17.176429748535156,14.914427757263184,290917200,15.038408088684083,,,,14.99427347091654,14.901434551110285,14.832715331668696,14.809973358744225,,,,,,,,,342977600
2013-10-09,17.308570861816406,17.421070098876953,17.08142852783203,17.37821388244629,15.089635848999023,301725200,15.019987297058105,,,,15.026060930277369,14.919358484242546,14.841138955187724,14.814595879244305,,,,,,,,,644702800
2013-10-10,17.547143936157227,17.584999084472656,17.394285202026367,17.48714256286621,15.184219360351562,278602800,15.058626937866212,,,,15.078780406968768,14.944583329586262,14.852387493061947,14.820705358270871,,,,,,,,,923305600
2013-10-11,17.392499923706055,17.637142181396484,17.3271427154541,17.600357055664062,15.282525062561035,267738800,15.119284057617188,,,,15.146695292166191,14.976768256536241,14.866490364193064,14.828338741812859,,,,,,,,,1191044400
2013-10-14,17.493928909301758,17.770713806152344,17.47678565979004,17.715713500976562,15.382691383361816,261898000,15.170699882507325,,,,15.225360655898067,15.0154276019482,14.883414987772367,14.837501595392181,,,,,,,,,1452942400
2013-10-15,17.768213272094727,17.928571701049805,17.6971435546875,17.809999465942383,15.46456241607666,320073600,15.28072681427002,,,,15.305094575957598,15.05820234615091,14.902469001815131,14.847866237056389,,,,,,,,,1773016000
2013-10-16,17.885356903076172,17.947500228881836,17.82964324951172,17.896785736083984,15.539917945861816,251101200,15.370783233642578,,,,15.38336903259234,15.104080022313854,14.92336896719371,14.859305108276313,,,,,,,,,2024117200
2013-10-17,17.856428146362305,18.027856826782227,17.845714569091797,18.01785659790039,15.645040512084961,253593200,15.462947463989257,,,,15.470592859089882,15.155600068958721,14.947030329321292,14.872292470322739,,,,,,78.69273269948216,,,2277710400
2013-10-18,18.07107162475586,18.187856674194336,18.061071395874023,18.17464256286621,15.78118896484375,290542000,15.5626802444458,,,,15.574124894341171,15.215179963804914,14.974379792781043,14.887315552876807,,,,,,81.31453552105546,,,2568252400
2013-10-21,18.27750015258789,18.725000381469727,18.268571853637695,18.6200008392334,16.167896270751953,398106800,15.719721221923828,,,,15.772048686478099,15.305914850180823,15.013511480583368,14.908482176312761,,,,,,86.42419718211599,,,2966359200
2013-10-22,18.800357818603516,18.873214721679688,18.14392852783203,18.56678581237793,16.121692657470703,534063600,15.851147270202636,,,,15.888596676808968,15.38360797468462,15.04984528966164,14.928535242117025,,,,,,83.48665864730944,,,2432295600
2013-10-23,18.53571319580078,18.773929595947266,18.53571319580078,18.748571395874023,16.279537200927734,313723200,15.99907112121582,,,,16.018910184848558,15.468934567660154,15.090163057244133,14.950865853006459,,,,,,85.32213736756933,,,2746018800
2013-10-24,18.75,19.016786575317383,18.6589298248291,18.99678611755371,16.495059967041016,384764800,16.16907501220703,,,,16.17762677891271,15.566660796172616,15.136225251007966,14.976389722659924,,,,,,87.38410042893526,,,3130783600
