Date,2-year,5-year,10-year,T10Y2Y,VIXCLS,DJI Adj Close,DJI Volume,NDAQ Adj Close,NDAQ Volume,SPX Adj Close,SPX Volume,RUT Adj Close,RUT Volume,Adj Close,Information Technology Adj Close,Information Technology Volume
2013-09-30,0.33,1.39,2.64,2.31,16.6,15129.669921875,122330000,3771.47998046875,1895760000,1681.550048828125,3308630000,1073.7900390625,3308630000,14.784490585327148,72.22718048095703,380600
2013-10-01,0.33,1.42,2.66,2.33,15.54,15191.7001953125,82460000,3817.97998046875,1843320000,1695.0,3238690000,1087.4300537109375,3238690000,15.132122993469238,72.9969253540039,160200
2013-10-02,0.31,1.38,2.63,2.32,16.6,15133.1396484375,86090000,3815.02001953125,1792980000,1693.8699951171875,3148600000,1082.550048828125,3148600000,15.181739807128906,73.02375030517578,350700
2013-10-03,0.33,1.36,2.62,2.29,17.67,14996.48046875,91300000,3774.340087890625,1884340000,1678.6600341796875,3279650000,1070.9000244140625,3279650000,14.991021156311035,72.25403594970703,216800
2013-10-04,0.33,1.41,2.66,2.33,16.74,15072.580078125,75100000,3807.75,1549600000,1690.5,2880270000,1078.25,2880270000,14.979239463806152,72.74630737304688,456100
2013-10-07,0.37,1.41,2.65,2.28,19.41,14936.240234375,79620000,3770.3798828125,1475990000,1676.1199951171875,2678490000,1065.7900390625,2678490000,15.125612258911133,72.1377182006836,158000
2013-10-08,0.4,1.43,2.66,2.26,20.34,14776.5302734375,102690000,3694.830078125,2087580000,1655.449951171875,3569230000,1047.260009765625,3569230000,14.914427757263184,70.77729797363281,467400
2013-10-09,0.37,1.43,2.68,2.31,19.6,14802.98046875,103190000,3677.780029296875,2242700000,1656.4000244140625,3577840000,1043.4599609375,3577840000,15.089635848999023,70.86676025390625,2996500
2013-10-10,0.35,1.44,2.71,2.36,16.48,15126.0703125,106540000,3760.75,1902410000,1692.56005859375,3362300000,1069.5,3345660000,15.184219360351562,72.25403594970703,231900
2013-10-11,0.35,1.42,2.7,2.35,15.72,15237.1103515625,85730000,3791.8701171875,1750350000,1703.199951171875,2944670000,1084.31005859375,2944670000,15.282525062561035,72.8626708984375,181700
2013-10-14,,,,2.35,16.07,15301.259765625,81420000,3815.280029296875,1455160000,1710.1400146484375,2580580000,1090.300048828125,2580580000,15.382691383361816,73.27435302734375,211700
2013-10-15,0.37,1.45,2.75,2.38,18.66,15168.009765625,91440000,3794.010009765625,1745560000,1698.06005859375,3327740000,1079.6199951171875,3327740000,15.46456241607666,72.76420593261719,306100
2013-10-16,0.34,1.41,2.69,2.35,14.71,15373.830078125,92850000,3839.429931640625,1744000000,1721.5400390625,3486180000,1092.4200439453125,3483180000,15.539917945861816,73.5070571899414,150300
2013-10-17,0.33,1.35,2.61,2.28,13.48,15371.650390625,108490000,3863.14990234375,1975140000,1733.1500244140625,3453590000,1102.27001953125,3453590000,15.645040512084961,73.43546295166016,231200
2013-10-18,0.33,1.35,2.6,2.27,13.04,15399.650390625,156660000,3914.280029296875,1943090000,1744.5,3664890000,1114.77001953125,3664890000,15.78118896484375,74.7421646118164,180200
2013-10-21,0.33,1.38,2.63,2.3,13.16,15392.2001953125,93660000,3920.050048828125,1674470000,1744.6600341796875,3052710000,1112.47998046875,3052710000,16.167896270751953,75.06436920166016,237300
2013-10-22,0.31,1.3,2.54,2.23,13.33,15467.66015625,107030000,3929.570068359375,1890500000,1754.6700439453125,3850840000,1115.6300048828125,3850840000,16.121692657470703,74.93010711669922,269500
2013-10-23,0.31,1.3,2.51,2.2,13.42,15413.330078125,90630000,3907.070068359375,1915030000,1746.3800048828125,3713380000,1110.9300537109375,3713380000,16.279537200927734,74.39310455322266,207200
2013-10-24,0.33,1.32,2.53,2.2,13.2,15509.2099609375,89240000,3928.9599609375,2054350000,1752.0699462890625,3671700000,1118.8499755859375,3671700000,16.495059967041016,74.69744110107422,143400
2013-10-25,0.32,1.3,2.53,2.21,13.09,15570.2802734375,109900000,3943.360107421875,2225780000,1759.77001953125,3175720000,1118.3399658203125,3175720000,16.310544967651367,74.93010711669922,143800
2013-10-28,0.32,1.31,2.54,2.22,13.31,15568.9296875,92760000,3940.1298828125,1904810000,1762.1099853515625,3282300000,1117.969970703125,3282300000,16.432104110717773,75.01068115234375,144300
2013-10-29,0.31,1.29,2.53,2.22,13.41,15680.349609375,86600000,3952.340087890625,1897380000,1771.949951171875,3358460000,1121.0699462890625,3358460000,16.02276039123535,75.38656616210938,189100
2013-10-30,0.33,1.3,2.55,2.22,13.65,15618.759765625,79170000,3930.6201171875,1923000000,1763.31005859375,3523040000,1105.5,3523040000,16.27766990661621,75.04645538330078,175300
2013-10-31,0.31,1.31,2.57,2.26,13.75,15545.75,114050000,3919.7099609375,2139650000,1756.5400390625,3826530000,1100.1500244140625,3826530000,16.209442138671875,74.86747741699219,208000
2013-11-01,0.33,1.37,2.65,2.32,13.28,15615.5498046875,101830000,3922.0400390625,1949460000,1761.6400146484375,3686290000,1095.6700439453125,3686290000,16.126644134521484,74.9122314453125,174900
2013-11-04,0.32,1.36,2.63,2.31,12.93,15639.1201171875,71200000,3936.590087890625,1817880000,1767.9300537109375,3194870000,1108.280029296875,3194870000,16.335041046142578,75.17179107666016,222500
2013-11-05,0.32,1.39,2.69,2.37,13.27,15618.2197265625,91890000,3939.860107421875,1934630000,1762.969970703125,3516680000,1103.5899658203125,3516680000,16.294721603393555,75.2254867553711,186400
2013-11-06,0.3,1.34,2.67,2.37,12.67,15746.8798828125,109200000,3931.949951171875,2020160000,1770.489990234375,3322100000,1098.6300048828125,3322100000,16.248565673828125,75.77143859863281,151600
2013-11-07,0.29,1.31,2.63,2.34,13.91,15593.98046875,103860000,3857.330078125,2303320000,1747.1500244140625,4143200000,1079.0899658203125,4024730000,15.98562240600586,74.73320007324219,246000
2013-11-08,0.32,1.42,2.77,2.45,12.9,15761.7802734375,101200000,3919.22998046875,1981740000,1770.6099853515625,3837170000,1099.969970703125,3837170000,16.237333297729492,75.5924301147461,151600
2013-11-11,,,,2.45,12.53,15783.099609375,58860000,3919.7900390625,1595340000,1771.8900146484375,2534060000,1101.5,2534060000,16.19024085998535,75.58345794677734,137900
2013-11-12,0.34,1.47,2.8,2.46,12.82,15750.669921875,79260000,3919.919921875,1776860000,1767.68994140625,3221030000,1101.469970703125,3221030000,16.22017478942871,75.91463470458984,118800
